ID,Pergunta,Resposta,Alerta,Motivo do alerta,Pontuação Dirigente Administrativo Financeiro,Pontuação Dirigente Gestão Institucional,Pontuação Dirigente Métodos Educativos,Pontuação Ramo Lobinho,Pontuação Ramo Escoteiro,Pontuação Ramo Sênior,Pontuação Ramo Pioneiro
1,Por que você deseja ingressar/ retornar/ permanecer /mudar de cargo no Movimento Escoteiro?,Gosta de trabalhar com educação de jovens e crianças,FALSE,,2,2,2,2,2,2,2
2,Por que você deseja ingressar/ retornar/ permanecer /mudar de cargo no Movimento Escoteiro?,Quer fazer algo para melhorar a comunidade,FALSE,,1,1,1,1,1,1,1
3,Por que você deseja ingressar/ retornar/ permanecer /mudar de cargo no Movimento Escoteiro?,Acha que pode contribuir com o Movimento por conta de sua formação,FALSE,,1,1,1,1,1,1,1
4,Por que você deseja ingressar/ retornar/ permanecer /mudar de cargo no Movimento Escoteiro?,"Amigos/parentes indicaram, veio conhecer e deseja se voluntariar",FALSE,,1,1,1,1,1,1,1
5,Por que você deseja ingressar/ retornar/ permanecer /mudar de cargo no Movimento Escoteiro?,Sempre quis ser Escoteiro quando era jovem e soube que adultos tambem podem ser escoteiros.,TRUE,Aqui deve-se reforçar a ideia de que o Movimento Escoteiro é um movimento de educação não formal. Adultos que não demonstrem interesse no desenvolvimento dos jovens não atuarão em benefício da visão do Movimento Escoteiro.,-1,-1,-1,-1,-1,-1,-1
6,"Como foi seu processo de educação e formação? Quando algum tema lhe trouxe curiosidade ou dúvida, você buscou conhecê-lo melhor? Se sim, como? Se não, porquê?",Sempre buscou se atualizar e segue em busca de novos conhecimentos,FALSE,,2,2,2,2,2,2,2
7,"Como foi seu processo de educação e formação? Quando algum tema lhe trouxe curiosidade ou dúvida, você buscou conhecê-lo melhor? Se sim, como? Se não, porquê?",Teve uma formação bacana mas já há alguns anos não aprende coisas novas mas quer voltar a aprender,FALSE,,1,1,1,1,1,1,1
8,"Como foi seu processo de educação e formação? Quando algum tema lhe trouxe curiosidade ou dúvida, você buscou conhecê-lo melhor? Se sim, como? Se não, porquê?","Não teve muita oportunidade de formação, mas quer aproveitar essa oportunidade para se desenvolver",FALSE,,1,1,1,1,1,1,1
9,"Como foi seu processo de educação e formação? Quando algum tema lhe trouxe curiosidade ou dúvida, você buscou conhecê-lo melhor? Se sim, como? Se não, porquê?","Buscou formação e desenvolvimento, mas acha que está velho para isso e quer aprender só o básico",TRUE,"O Movimento Escoteiro precisa de adultos que se atualizem e busquem a formação continuada. Assim, o adulto deve, constantemente, buscar aperfeiçoamento e formação. Essa formação tem responsabilidade dividida: ao mesmo tempo em que cabe aos Escoteiros do Brasil oferecer os cursos, cabe ao adulto buscar sua própria formação e leitura dos materiais que são, constantemente, renovados.",-1,-1,-1,-1,-1,-1,-1
10,"Como foi seu processo de educação e formação? Quando algum tema lhe trouxe curiosidade ou dúvida, você buscou conhecê-lo melhor? Se sim, como? Se não, porquê?",Não teve muita formação e parou de estudar pois não gostava de ser ensinado,TRUE,"O adulto será acompanhado por um Assessor Pessoal de Formação, que irá incentivá-lo a sempre seguir se aperfeiçoando e irá avaliá-lo e orientá-lo a se autoavaliar. Muitos adultos não querem e não se sentem bem com isso.",-1,-1,-1,-1,-1,-1,-1
11,"Alguma vez você já esteve diante de uma situação que fez você alterar seu jeito de fazer as coisas? Se sim, como foi para você passar por esse processo?",Já esteve nessas situações e buscou se reinventar,FALSE,,2,2,2,2,2,2,2
12,"Alguma vez você já esteve diante de uma situação que fez você alterar seu jeito de fazer as coisas? Se sim, como foi para você passar por esse processo?","Não se sentiu confortável, mas buscou aprender as coisas novas",FALSE,,1,1,1,1,1,1,1
13,"Alguma vez você já esteve diante de uma situação que fez você alterar seu jeito de fazer as coisas? Se sim, como foi para você passar por esse processo?",Teve dificuldades de se adaptar às mudanças,TRUE,"Adultos que não gostam de mudanças e que tendem a não mudar seus comportamentos e atitudes perante novas situações podem apresentar dificuldades no desempenho de suas tarefas no Movimento Escoteiro; o mundo vive em constante mudança e, assim também, o Escotismo.",-1,-1,-1,-1,-1,-1,-1
